Username,Comment
@SaisamniV,ಪಪಪಪಪಪ😮😮😮😮😮😮😮😮😮😢😢🎉🎉🎉🎉
@salmashaikh8172,Who is listening in 2024
@FizanMher,Wao 👌👌👌😘😘😘😘
@sonalidalvi7805,My फेव्हरेट song❤
@naitikjaiswal8409,All tym fav ❤❤
@supriyaprashar8081,Damn.. who’s the choreographer??
@AloAlorengma,Wow abeshak n rani wow prelend dance performance
@BalditKaur-h4z,"❤❤BALDIT ❤ this   M❤VlE   S❤    ❤much   ❤Cannot  B  described ❤saying  deeply down from my ❤😂😂😂Vaah2   Amitabh Bachan
😂😅😅"
@RusamGiri,2024 me kaun kaun sun rhe hai   ye song
@rahilpathan3147,I am song only watching because sushant singh ke liye back round dance
@beingAheart,Music 🔥🔥🔥🔥
@Sumita-f9b,Lyrics❤
@greenlittlebird,CINEMA
@rohanjunghare9560,Anyone here in 2024?
@purnapriyanka2842,"1:05 - 1:11 thats it thats the testament to how amazing a dancer rani is!!!she will eat up 100 dancers from today in seconds ! i was trying to find if any of the dancers were overpowering her butt MAN i could find not one… the energy, the grace, the precise finishing of steps… every inch of her moving in sync! 🙇‍♀️"
@banterreloaded1998,The entire comment section  in brevity for new readers... not 1 negative comment on Rani's grace and movements and not 1 positive comment on AB juniors attempt to dance 😂😂😂😂.. poor guy...
@ShaheedMohammad-e7i,good ❤❤
@purvishah7015,"Pur
Pur
Pur
Pur
Pur
Pur
Ppur"
@asifmughal516,Me 😂
@wellnessbyshilpa,Why is choreographer’s name never mentioned?
@arindamchakarborty2346,"As shankar ehsaan loy are the composer , they used shankar mahadevan voice but it could have been more good more bold if Kumar sanu would sing it he has a tiger voice ."
@behappy.inlife,"I have watched that song everyday when it aired back. It is still a gold today and the music, choreography and dresses is still amazing and better than nowadays songs 🔥🔥😍😍❤‍🔥❤‍🔥"
@aasifshokey6340,Abhishek ankal😂😂😂😂isko bhi dance krna aata hai
@SameerHassan-gr5kb,FM radio pe suna Tha Maine ye song 😢😢
@srishti1289,Such energetic song always be in trend
@jhulanbanerjee136,❤❤❤❤❤❤❤❤❤
